c,f,l,r,id
,Piotr,Zieliński,80,210406
,Morgan,Sanson,80,210896
André Gomes,André Filipe,Tavares Gomes,80,211575
,Kerem,Demirbay,80,211748
,Thomas,Strakosha,80,212151
Santi Mina,Santiago,Mina Lorenzo,80,212623
Rony Lopes,Marcos Paulo,Mesquita Lopes,80,212692
,Ángel,Correa,80,214997
,Keita,Baldé,80,215785
,Marcelo,Brozović,80,216352
,Matteo,Politano,80,216409
,Tiémoué,Bakayoko,80,219809
,Matias,Vecino,80,219985
,Mattia,Caldara,80,220477
Raúl,Raúl Michel,Melo da Silva,80,221540
Mariano,Mariano,Díaz Mejía,80,221639
,Hirving,Lozano,80,221992
,Julian,Weigl,80,222028
,Franco,Cervi,80,223061
,Karl,Toko-Ekambi,80,224069
,Cristian,Pavón,80,224254
,Marcos,Acuña,80,224334
,Giovani,Lo Celso,80,226226
,Wilfred,Ndidi,80,226790
,Benjamin,Pavard,80,226851
,Moussa,Marega,80,227536
Nélson Semedo,Nélson,Cabral Semedo,80,227928
,Fabián,Balbuena,80,228229
Oyarzabal,Mikel,Oyarzabal Ugarte,80,230142
,Miguel,Almirón,80,230977
Odriozola,Álvaro,Odriozola Arzalluz,80,234035
Carlos Soler,Carlos,Soler Barragán,80,234153
,Matthijs,de Ligt,80,235243
,Maximiliano,Gómez,80,239207
,Emre,Belözoğlu,79,80
,Emmanuel,Adebayor,79,53050
,René,Adler,79,121933
,Burak,Yılmaz,79,124375
,Daniel,Baier,79,137351
,Ryan,Babel,79,157301
,Jefferson,Farfán,79,158133
,Salomon,Kalou,79,158232
,Ezequiel,Lavezzi,79,159065
,David,Abraham,79,160741
,Leighton,Baines,79,163631
Charles,Charles,Dias De Oliveira,79,164029
,Theo,Walcott,79,164859
,Andrea,Masiello,79,169115
,Ryan,Bertrand,79,169705
,Jack,Cork,79,169706
,Nuri,Şahin,79,170797
Fábio Coentrão,Fábio Alexandre,Silva Coentrão,79,171688
,Asmir,Begović,79,172723
,Simon,Mignolet,79,173426
,Claudio,Bravo,79,174543
,Pontus,Wernbloom,79,176731
,Marouane,Fellaini,79,176944
,Morgan,Schneiderlin,79,177358
,Javier,Hernández,79,178224
Eder,Eder,Citadin Martins,79,178311
,Ruud,Vormer,79,178415
,Simon,Kjær,79,179645
Sidnei,Sidnei Rechel,da Silva Júnior,79,182002
,Orestis,Karnezis,79,183497
,Nils,Petersen,79,183580
,Gabriel,Mercado,79,183892
,Pablo,Piatti,79,183899
,Ibrahima,Traoré,79,183909
Fernando,Fernando,Reges,79,184134
Adrien Silva,Adrien S.,Perruchet Silva,79,184826
,Sofiane,Feghouli,79,184881
Mariano,Mariano,Ferreira Filho,79,184949
,Péter,Gulácsi,79,185122
,Nikola,Kalinić,79,185431
,Danny,Drinkwater,79,186132
,Ron-Robert,Zieler,79,186148
,Kwadwo,Asamoah,79,186832
,Yann,M'Vila,79,187052
Alex Teixeira,Alex,Teixeira dos Santos,79,188081
,Francis,Coquelin,79,189271
Souza,Josef,de Souza Dias,79,189423
,Benjamin,Hübner,79,189433
Rafael,Rafael,Pereira da Silva,79,189681
De Marcos,Oscar,De Marcos Arana,79,190149
,Marwin,Hitz,79,190243
Canales,Sergio,Canales Madrazo,79,190286
,Daley,Blind,79,190815
,Juraj,Kucka,79,190875
,Jóhann Berg,Guðmundsson,79,191076
Ricardo Goulart,Ricardo,Goulart Pereira,79,192064
,Fabián,Orellana,79,192492
,Yunus,Mallı,79,192565
,Holger,Badstuber,79,192620
Escudero,Sergio,Escudero Palomo,79,192679
,Roberto,Pereyra,79,193061
Jaume Costa,Jaume Vicent,Costa Jordá,79,193171
,Thomas,Delaney,79,193283
,Guido,Burgstaller,79,193584
,Germán,Pezzella,79,193601
André Almeida,André Gomes,Magalhães Almeida,79,194022
Borja García,Borja,García Freire,79,194761
,Aaron,Mooy,79,194958
,Tom,Cairney,79,195202
Sérgio Oliveira,Sérgio Miguel,Relvas de Oliveira,79,198031
,Josuha,Guilavogui,79,198118
Sergio León,Sergio,León Limones,79,198715
,Ross,Barkley,79,199189
Danilo,Danilo Luiz,da Silva,79,199304
Lucas Pérez,Lucas,Pérez Martínez,79,199354
Ibai Gómez,Ibai,Gómez Pérez,79,199416
,Michael,Gregoritsch,79,199439
,John,Guidetti,79,199602
,Marco,van Ginkel,79,199767
Campaña,José,Gómez Campaña,79,199823
,Steven,Berghuis,79,200260
Paco Alcácer,Francisco,Alcácer García,79,200454
,Yevhen,Konoplyanka,79,200641
Ismaily,Ismaily,Gonçalves dos S.,79,201119
,Aïssa,Mandi,79,201143
David López,David,López Silva,79,201505
,Gastón,Ramírez,79,201508
,Layvin,Kurzawa,79,201510
,Jeffrey,Gouweleeuw,79,202201
,Diego,Demme,79,202325
Sergi Darder,Sergi,Darder Moll,79,202648
Álvaro,Álvaro,González Soberón,79,202935
,Leonardo,Bittencourt,79,203106
,Mohamed,Elyounoussi,79,203362
,Davy,Klaassen,79,203483
,Pavel,Kadeřábek,79,203605
Zé Luís,José Luís,Mendes Andrade,79,203757
,Loris,Karius,79,203775
Roque Mesa,Roque,Mesa Quevedo,79,204277
Iñigo Martínez,Iñigo,Martínez Berridi,79,204525
,Willi,Orban,79,204638
Denis Suárez,Denis,Suárez Fernández,79,205192
,Karim,Rekik,79,205193
,Daniele,Baselli,79,205407
Leo Baptistao,Leonardo,Carrilho Baptistão,79,205976
,Luka,Milivojević,79,206304
,Michael,Keane,79,207599
,Guido,Pizarro,79,207939
,Bertrand,Traoré,79,207948
,Jonas,Hector,79,208334
Omar Mascarell,Omar,Mascarell González,79,208620
,Nathan,Aké,79,208920
Pacheco,Fernando,Pacheco Flores,79,209960
Jonny,Jonathan,Castro Otto,79,210455
,Nicolás,Tagliafico,79,211256
,Ricardo,Centurión,79,211267
Bruma,Armindo,Tué Na Bangna,79,211368
Gayà,José Luís,Gayà Peña,79,211688
,Max,Meyer,79,212150
,Roman,Zobnin,79,213160
,Nabil,Bentaleb,79,213296
Ricardo Horta,Ricardo Jorge,da Luz Horta,79,213516
,Jefferson,Lerma,79,213991
,Franco,Armani,79,214584
,Jean-Philippe,Gbamin,79,214947
,Iván,Marcone,79,215057
,Darío,Benedetto,79,215061
,Lucas,Alario,79,215353
Jemerson,Jemerson,de Jesus Nascimento,79,215792
,Davide,Zappacosta,79,216150
,Youri,Tielemans,79,216393
,Maximilian,Philipp,79,216497
Rafa,Rafael A.,Ferreira Silva,79,216547
,Mahmoud,Dahoud,79,218339
,Rodrigo,Battaglia,79,219576
,Antonio,Sanabria,79,219932
,Ante,Rebić,79,220018
,Victor,Lindelöf,79,221660
Granell,Àlex,Granell Nogué,79,223682
Rúben Neves,Rúben Diogo,da Silva Neves,79,224293
,Martín,Campaña,79,225647
,Alexandr,Golovin,79,225663
,Benjamin,Verbič,79,225997
Marcos Llorente,Marcos,Llorente Moreno,79,226161
,Lucas,Tousart,79,227234
,Marko,Dmitrović,79,227290
Soares,Francisco,Soares dos Santos,79,227476
,Christian,Pulisic,79,227796
,Lautaro,Martínez,79,231478
Raphinha,Raphael,Dias Belloli,79,233419
,Kai,Havertz,79,235790
David Neres,David,Neres Campos,79,236632
,Viktor,Tsygankov,79,244369
,Robin,van Persie,78,7826
,Phil,Jagielka,78,53914
,Carlos Idriss,Kameni,78,111661
Rubén Castro,Rubén,Castro Martín,78,115909
,Atiba,Hutchinson,78,134744
,Michel,Vorm,78,137677
,Leonardo,Ponzio,78,139064
,Lisandro,López,78,142707
,Marcelo,Barovero,78,142721
,Andriy,Pyatov,78,142902
,Carlos,Tévez,78,143001
,Fernando,Belluschi,78,143587
,Arda,Turan,78,143745
Negredo,Álvaro,Negredo Sánchez,78,146439
Javi Fuego,Javier,Fuego Martínez,78,146460
Jesús Navas,Jesús,Navas González,78,146536
Soldado,Roberto,Soldado Rillo,78,146758
,Alexandr,Samedov,78,147621
,Lukas,Podolski,78,150516
,Joe,Hart,78,150724
,José,Sand,78,152912
Hilton,Vitorino,Hilton da Silva,78,153260
,Benoît,Costil,78,158121
,Mathieu,Debuchy,78,158626
,Christian,Gentner,78,158856
Jurado,José Manuel,Jurado Marín,78,159171
,Riccardo,Montolivo,78,159287
Javi García,Fran. Javier,García Fernández,78,161754
,Karim,El Ahmadi,78,162329
Sergio,Sergio,Álvarez Conde,78,163806
Adriano,Adriano,Correia Claro,78,164082
,Graziano,Pellè,78,164376
,Itumeleng,Khune,78,165247
,Nicolás,Pareja,78,165501
,Fernando,Gago,78,165517
,Gonzalo,Castro,78,167431
,Dušan,Basta,78,167514
,Ignazio,Abate,78,168312
,Jonny,Evans,78,169588
José Fonte,José Miguel,da Rocha Fonte,78,171791
,Eljero,Elia,78,172049
,Kevin,Mirallas,78,172175
Manu García,Manuel,García Sánchez,78,172287
Coke,Jorge,Andújar Moreno,78,172316
,Niklas,Moisander,78,172862
,Victor,Moses,78,172962
,Cristian,Ansaldi,78,173306
,Zlatko,Junuzović,78,173474
,James,Tomkins,78,173546
,David,Ospina,78,176550
,Cristian,Zapata,78,177983
Granero,Esteban,Granero Molina,78,178085
,Miguel,Layún,78,178322
,Jeremain,Lens,78,178416
,Loïc,Rémy,78,179527
,Damien,Da Silva,78,179789
Hernanes,A. Hernanes,de Carvalho A. Lima,78,180432
Guilherme,Guilherme Alvim,Marinato,78,180714
Luiz Adriano,Luiz Adriano,Souza da Silva,78,180826
,Sebastian,De Maio,78,182179
,Martín,Cáceres,78,182495
,Nordin,Amrabat,78,183108
,Konstantinos,Mitroglou,78,183483
,Neven,Subotić,78,183556
,Angelo,Ogbonna,78,183855
,Sandro,Wagner,78,184069
,Mehdi,Carcela-González,78,184089
,Christian,Benteke,78,184111
,Lucas,Pratto,78,184252
,Kyriakos,Papadopoulos,78,184477
,Romain,Alessandrini,78,184575
,Joshua,King,78,185422
,Elías,Hernández,78,186302
,Marco,Fabián,78,186307
,Keisuke,Honda,78,186581
Rafael Tolói,Rafael,Tolói,78,187598
,Clément,Grenier,78,187924
Jefferson,Jefferson,Nascimento,78,188086
,James,McCarthy,78,188253
,Senad,Lulić,78,188427
,Volkan,Babacan,78,188524
Miguel Lopes,Hugo Miguel,Almeida Costa Lopes,78,188840
Daniel Carriço,Daniel Filipe,Martins Carriço,78,189156
,Jonjo,Shelvey,78,189165
,Etrit,Berisha,78,189296
Iturraspe,Ander,Iturraspe Derteano,78,189574
,Julian,Baumgartlinger,78,189606
,Luuk,de Jong,78,189805
,Christian,Kabasele,78,190324
,Michail,Antonio,78,190717
,Pascal,Groß,78,190765
,Chris,Wood,78,192123
,Marvin,Plattenhardt,78,192557
Elkeson,Elkeson,de Oliveira Cardoso,78,192598
,André,Schürrle,78,193130
Herrerín,Iago,Herrerín Buisán,78,193152
,Nemanja,Gudelj,78,193198
,Roberto,Soriano,78,193361
,Rémy,Cabella,78,193476
,Wahbi,Khazri,78,194845
Adrián,Adrián,San Miguel Castillo,78,194911
,Andros,Townsend,78,194932
,Alfreð,Finnbogason,78,195586
,Giovanni,Moreno,78,196147
,Enzo,Pérez,78,196432
,Oğuzhan,Özyakup,78,196934
,Callum,Wilson,78,196978
,Grzegorz,Krychowiak,78,197242
,Florian,Lejeune,78,197948
,Benjamin,Stambouli,78,198200
Cláudio Ramos,Cláudio Pires,de Morais Ramos,78,198513
,Bibras,Natcho,78,198648
,Mathew,Ryan,78,199005
Oriol Romeu,Oriol,Romeu Vidal,78,199576
,Matthew,Lowton,78,199633
,Pablo,Hernández,78,199827
Arbilla,Anaitz,Arbilla Zabala,78,199986
,Hans,Vanaken,78,200155
,Tomáš,Koubek,78,200332
,Lucas,Digne,78,200458
,Nacer,Chadli,78,200529
,Nico,Schulz,78,200536
,Christopher,Schindler,78,200607
Juan Jesus,Juan Guilherme,Nunes Jesus,78,200752
,Riccardo,Saponara,78,201046
,Vladimír,Darida,78,201262
,Ciprian,Tătăruşanu,78,201325
,Jordan,Veretout,78,201519
,Cristiano,Piccini,78,201939
,Jérôme,Roussillon,78,202562
Fernando,Fernando Lucas,Martins,78,202642
,Valère,Germain,78,203280
,André,Carrillo,78,203299
,Jamaal,Lascelles,78,203487
,Adrien,Trebel,78,203886
,Tomáš,Vaclík,78,204120
,Baptiste,Reynet,78,204240
,Santiago,Arias,78,204259
,Kurt,Zouma,78,204311
,Santiago,García,78,204385
Mário Rui,Mário Rui,Silva Duarte,78,204614
,Raúl,Jiménez,78,204838
,Fayçal,Fajr,78,205083
Marcelo,Marcelo,dos Santos Ferreira,78,205340
,Niclas,Füllkrug,78,205431
,Lucas,Castro,78,205633
,Sébastien,Haller,78,205693
,Leonardo,Pavoletti,78,205850
,Vlad,Chiricheş,78,205943
,Luke,Shaw,78,205988
,Mattia,De Sciglio,78,206058
,Denys,Garmash,78,206411
,Maximilian,Arnold,78,206511
,Mitchell,Weiser,78,206591
Matheus,Matheus,Lima Magalhães,78,208104
,Bryan,Cristante,78,208268
,Adnan,Januzaj,78,208330
Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,78,208450
,Hiroki,Sakai,78,208520
Óliver Torres,Óliver,Torres Muñoz,78,208777
Tiago Volpi,Tiago Luis,Volpi,78,209307
,Raphaël,Guerreiro,78,209889
Garry Rodrigues,Garry,Mendes Rodrigues,78,210212
,Jonas,Hofmann,78,210324
,Alexander,Szymanowski,78,210333
Otávio,Otávio Edmilson,da Silva Monteiro,78,210411
,Juan Fernando,Quintero,78,210513
,Marcel,Halstenberg,78,210665
Paulo Oliveira,Paulo André,Rodrigues Oliveira,78,210679
,Domenico,Berardi,78,210935
Pere Pons,Pere,Pons Riera,78,211706
,Roberto,Gagliardini,78,212153
,Philipp,Max,78,212187
,Pione,Sisto,78,212196
Ricardo Esgaio,Ricardo,Sousa Esgaio,78,212213
,Leander,Dendoncker,78,212501
,Mario,Lemina,78,212811
,Wylan,Cyprien,78,212886
,Niklas,Stark,78,212977
,Mohamed,Elneny,78,213051
,Diego,Laxalt,78,213400
,Facundo,Ferreyra,78,213432
,Alexandr,Selikhov,78,213732
,Johan,Mojica,78,214026
,Wilmar,Barrios,78,214394
,Carlos,Izquierdoz,78,214766
,Emiliano,Rigoni,78,215259
,Duván,Zapata,78,215333
,Nikola,Maksimović,78,215466
,Alireza,Jahanbakhsh,78,215871
,Marco,Sportiello,78,216065
Capa,Ander,Capa Rodríguez,78,216189
,Kenny,Tete,78,216266
,Allan,Saint-Maximin,78,216388
,Stanislav,Lobotka,78,216435
Wendell,Wendell,Nascimento Borges,78,216466
Paulinho,João Paulo,Dias Fernandes,78,216531
Bastos,Bartolomeu,Quissanga,78,216655
,Giovanni,Simeone,78,216816
,Islam,Slimani,78,217699
,Gonzalo,Escalante,78,219391
Diego Carlos,Diego Carlos,Santos Silva,78,219693
,Yerry,Mina,78,220523
,Andrija,Živković,78,220746
,Germán,Conti,78,221219
Pablo Maffeo,Pablo,Maffeo Becerra,78,221342
Dani Ceballos,Daniel,Ceballos Fernández,78,222509
Petros,Petros Matheus,dos Santos Araujo,78,222709
,Marvelous,Nakamba,78,222994
,Enes,Ünal,78,223197
,Omar,Al Soma,78,223627
,Valentin,Rongier,78,223874
David Soria,David,Soria Solís,78,223952
,Lucas,Torreira,78,223959
,Adam,Marušić,78,224031
Diogo Jota,Diogo José,Teixeira da Silva,78,224458
Vallejo,Jesús,Vallejo Lázaro,78,225161
,Nadiem,Amiri,78,225309
,Abdou,Diallo,78,225711
,Gonzalo,Martínez,78,226377
,Marcos,Díaz,78,226379
,André,Onana,78,226753
Daniel Podence,Daniel,Castelo Podence,78,226766
,Lorenzo,Pellegrini,78,228251
,Manuel,Akanji,78,229237
João Novais,João Pedro,Barradas Novais,78,229406
,Franck Yannick,Kessié,78,230938
,Filip,Krovinović,78,230988
,Trent,Alexander-Arnold,78,231281
,Amine,Harit,78,232097
,Santiago,Ascacíbar,78,232244
,Houssem,Aouar,78,234906
,Tanguy,Ndombele,78,235569
,Enis,Bardhi,78,237239
Rúben Dias,Rúben,Alves Dias,78,239818
Loren,Lorenzo,Morón García,78,242348
,Jermain,Defoe,77,50542
Jonatan Soriano,Jonatan,Soriano Casas,77,110376
,Diego,Benaglio,77,115533
,Mehmet,Topal,77,124635
,Jimmy,Briand,77,134779
,Scott,Brown,77,134820
Gomes,Heurelho,Silva Gomes,77,135451
Sergio García,Sergio,García de la Fuente,77,135697
Vágner Love,Vágner,Silva de Souza,77,137809
,Blerim,Džemaili,77,138699
,Federico,Marchetti,77,139668
,Jérémy,Morel,77,139860
,Guillermo,Ochoa,77,140233
,Ragnar,Klavan,77,140620
,Jesús,Dátolo,77,142966
Iván Ramis,Iván,Ramis Barrios,77,146701
Luisão,Anderson Luís,da Silva,77,148711
,Klaas-Jan,Huntelaar,77,148803
,Aaron,Lennon,77,152747
,Rubens,Sambueza,77,152916
,Per Ciljan,Skjelbred,77,152996
,Darío,Cvitanich,77,152997
,Rodrigo,Palacio,77,152999
,Mauro,Zárate,77,153177
Jorge Molina,Jorge,Molina Vidal,77,154472
,Michael,Bradley,77,155887
Markel Bergara,Markel,Bergara Larrañaga,77,155984
,Guillaume,Hoarau,77,156432
,Alfredo,Talavera,77,156433
,Thomas,Vermaelen,77,157304
Llorente,Fernando Javier,Llorente Torres,77,162131
,Vedad,Ibišević,77,162369
,Ben,Foster,77,163155
,Curtis,Davies,77,163761
,Bradley,Wright-Phillips,77,164464
,Gabriel,Paletta,77,165526
,Gustavo,Cabral,77,165536
Danilo,Danilo,Larangeira,77,166072
,Federico,Higuaín,77,167669
Rafinha,Márcio Rafael,Ferreira de Souza,77,168607
Barragán,Antonio,Barragán Fernández,77,169426
,Ryan,Shawcross,77,169596
,Jay,Rodriguez,77,169792
,Lorenzo,De Silvestri,77,170320
,Giovani,dos Santos,77,170369
,Jonathan,dos Santos,77,170370
,Diego,Buonanotte,77,170719
Gervinho,Gervais,Yao Kouassi,77,170733
Mario Suárez,Mario,Suárez Mata,77,171018
,Ignacio,Scocco,77,171828
,Perparim,Hetemaj,77,172233
,David,Zurutuza,77,172290
,Óscar,Trejo,77,173030
Adrián,Adrián,López Álvarez,77,173818
,Felipe,Caicedo,77,175254
,Vadis,Odjidja-Ofoe,77,175895
,Jozy,Altidore,77,176237
,Winston,Reid,77,176285
,André,Ayew,77,176571
,Nahuel,Guzmán,77,176919
,Régis,Gurtner,77,176994
,Fabian,Johnson,77,177159
,Martin,Harnik,77,177666
,Etienne,Capoue,77,178213
,Papakouli,Diop,77,178250
Mosquera,Pedro,Mosquera Parada,77,178625
,Miralem,Sulejmani,77,179560
,Makoto,Hasebe,77,181098
,Marek,Suchý,77,181262
,Jose,Holebas,77,182744
,Andy,Carroll,77,182836
,Maximiliano,Pereira,77,182862
,Carlos,Sánchez,77,182882
,Roberto,Rosales,77,182896
,Max,Gradel,77,182945
,Troy,Deeney,77,183125
,Fin,Bartels,77,183332
,Giovanni,Sio,77,183389
,Mathias,Jørgensen,77,183491
Yuri Berchiche,Yuri,Berchiche Izeta,77,183512
,Eric Maxim,Choupo-Moting,77,183569
Roberto,Roberto,Jiménez Gago,77,183666
,Mathieu,Dossevi,77,183820
,Nicolai,Müller,77,183871
,Michael,Lang,77,184501
,Joe,Allen,77,184716
,Benjamin,Moukandjo,77,185090
Mikel San José,Mikel,San José Domínguez,77,185132
,Andrea,Poli,77,185174
Yoel,Yoel,Rodríguez Oterino,77,185181
,Odion,Ighalo,77,185195
,Kieran,Gibbs,77,186115
,Danny,Welbeck,77,186146
,Matt,Ritchie,77,186395
,Bernardo,Espinosa,77,186521
,Ivan,Radovanović,77,186589
,Jefferson,Montero,77,186805
,Ashley,Barnes,77,186905
,Onur,Kıvrak,77,186953
,Viktor,Vasin,77,187517
Rafael Carioca,Rafael,de Souza Pereira,77,188041
,Daryl,Janmaat,77,188155
,Lautaro,Acosta,77,188268
,Carlos,Villanueva,77,188414
,Marcel,Schmelzer,77,188802
,Alfred,N'Diaye,77,188879
,Gustavo,Bou,77,188955
,Aleksandar,Dragović,77,189060
,Yannick,Bolasie,77,189157
Caiuby,Caiuby Fr.,da Silva,77,189196
,Salomón,Rondón,77,189250
,Alex,McCarthy,77,189324
,Bastian,Oczipka,77,189390
,Danny,Latza,77,189410
Victor Sánchez,Victor,Sánchez Mata,77,189506
Víctor Vázquez,Víctor,Vázquez Solsona,77,189508
Cote,José Ángel,Valdés Díaz,77,190143
,Eliaquim,Mangala,77,190531
,Benjamin,André,77,190674
,Celso,Borges,77,190799
,Tomás,Rincón,77,191053
,Leandro,Chichizola,77,191628
,Diego,Reyes,77,192012
,Andrea,Bertolacci,77,192073
,Javier,Aquino,77,192350
,Sergio,Padt,77,192358
Juanpe,Juan Pedro,Ramírez López,77,192715
,Romain,Hamouma,77,192722
,Emanuele,Giaccherini,77,192841
,Steve,Cook,77,193011
,Davy,Pröpper,77,193158
,Arnaud,Souquet,77,193470
,Nemanja,Pejčinović,77,193714
André Pinto,André,Almeida Pinto,77,193862
,Hernán,Pérez,77,193887
Montoya,Martín,Montoya Torralbo,77,194644
,Charlie,Austin,77,195671
,Teófilo,Gutiérrez,77,196150
,Nicolás,Lodeiro,77,197225
,Jordan,Ayew,77,197756
Juanmi,Juan Miguel,Jiménez López,77,197891
,Patrick,Herrmann,77,198077
,Celso,Ortíz,77,198129
,Rogelio,Funes Mori,77,198140
,Manolo,Gabbiadini,77,198683
,Nicolas,Pallois,77,199393
,Roberto,Inglese,77,199559
Sergi Gómez,Sergi,Gómez Solà,77,199577
,Ramiro,Funes Mori,77,199667
Wilson Eduardo,Wilson Bruno,Naval Costa Eduardo,77,199737
,Nicolai,Jørgensen,77,199852
,Lewis,Dunk,77,199915
,Emre,Çolak,77,199952
Pedro Obiang,Pedro Mba,Obiang Avomo,77,200054
,Sebastian,Rode,77,200215
Bruno,Bruno,González Cabrera,77,200228
Pedro Mendes,Pedro Filipe,Teodósio Mendes,77,200677
,Lorenzo,Tonelli,77,201049
,Agustín,Marchesín,77,201095
Cédric,Cédric Ricardo,Alves Soares,77,201118
,Paul-Georges,Ntep,77,201533
,Robbie,Brady,77,201884
,Martin,Hinteregger,77,201922
,Timmy,Chandler,77,202316
Aleix Vidal,Aleix,Vidal Parreu,77,202493
,Alexander,Schwolow,77,202789
,Leonardo,Spinazzola,77,202884
,Tonny,Vilhena,77,203535
,Damián,Suárez,77,203843
Eric Botteghin,Eric Fernando,Botteghin,77,203888
,M'Baye,Niang,77,204077
,Christophe,Kerbrat,77,204338
,Bouna,Sarr,77,204472
,Emiliano,Sala,77,204819
,Okay,Yokuşlu,77,205201
Djaniny,Jorge Djaniny,Tavares Semedo,77,205427
Alberto Moreno,Alberto,Moreno Pérez,77,205566
,James,Ward-Prowse,77,205569
,Lucas,Ocampos,77,205632
,Dominique,Heintz,77,206198
,Denis,Cheryshev,77,206225
,Jordan,Lukaku,77,207537
Marçal,Fernando,Marçal de Oliveira,77,207707
Roger,Roger,Martí Salvador,77,207732
,Yussuf,Poulsen,77,207791
,Giancarlo,González,77,208379
,Filip,Kostić,77,208574
,Yassine,Bounou,77,209981
Jozabed,Jozabed,Sánchez Ruiz,77,210214
Rubén Blanco,Rubén,Blanco Veiga,77,211101
,Valentino,Lazaro,77,211147
Rubén Peña,Rubén,Peña Jiménez,77,211241
,Marco,Benassi,77,211354
,Sofiane,Boufal,77,211381
,Vincenzo,Grifo,77,212096
,Dominik,Kohr,77,212212
José Sá,José Pedro,Malheiro de Sá,77,212442
,Avilés,Hurtado,77,212456
,Davie,Selke,77,212626
,Ludwig,Augustinsson,77,212678
,Jorrit,Hendrix,77,212755
,Nicolás,Castillo,77,212878
,Divock,Origi,77,213135
,Erick,Pulgar,77,213629
,Ruben,Loftus-Cheek,77,213666
,Frank,Fabra,77,214040
,Alexey,Miranchuk,77,214092
,Benjamin,Bourigeaud,77,214097
,Daniel,Torres,77,214332
,Lisandro,López,77,215051
,Pablo,Pérez,77,215079
,Joaquín,Correa,77,215330
Rúben Vezo,Rúben Miguel,Nunes Vezo,77,215399
,Youssouf,Sabaly,77,215699
Marcelo Goiano,Marcelo Augusto,Ferreira Teixeira,77,216373
,Léo,Dubois,77,216643
,Dakonam,Djené,77,217940
,José,Izquierdo,77,219411
,Jonathan,Calleri,77,219455
,Jordan,Amavi,77,219681
Munir,Munir,El Haddadi,77,220253
,Martin,Dúbravka,77,220407
,Erick,Gutiérrez,77,220854
,Alessandro,Schöpf,77,220925
,Lovre,Kalinić,77,220932
,Serhiy,Sydorchuk,77,220948
,Nikola,Vukčević,77,221016
,Nico,Elvedi,77,221491
Jorge Meré,Jorge,Meré Pérez,77,223033
,Ruben,Aguilar,77,223597
,Wout,Weghorst,77,223689
Dyego Sousa,Dyego Wilverson,Ferreira Sousa,77,224116
,Lewis,Cook,77,224294
Joan Jordán,Joan,Jordán Moreno,77,224309
,Marius,Wolf,77,224425
,Kevin,Lasagna,77,224933
,Florin,Andone,77,225018
,Nemanja,Radoja,77,225028
,Vincent,Koziello,77,225199
Sidcley,Sidcley,Ferreira Pereira,77,225474
,Steven,Bergwijn,77,225953
Trezeguet,Mahmoud,Hassan,77,226078
,Nordi,Mukiele,77,226166
,Maximilian,Eggestein,77,226168
,Thilo,Kehrer,77,226229
Álex Remiro,Alejandro,Remiro Gargallo,77,227127
Yeray,Yeray,Álvarez López,77,227950
,Ferland,Mendy,77,228618
,Frenkie,de Jong,77,228702
,Davide,Calabria,77,228881
André Silva,André Miguel,Valente da Silva,77,228941
,Denis,Zakaria,77,229261
,Waldemar,Anton,77,229476
,Gastón,Pereiro,77,229636
,Georgiy,Dzhikiya,77,229773
,Pierre,Lees-Melou,77,230020
,Amadou,Diawara,77,230613
,Emre,Akbaba,77,230685
,Joris,Gnagnon,77,231361
,Alban,Lafont,77,231691
Richarlison,Richarlison,de Andrade,77,231943
,Shoya,Nakajima,77,232862
,Gaku,Shibasaki,77,232883
,Amath,Ndiaye Diedhiou,77,233631
Bruno Viana,Bruno Viana,Willemen Da Silva,77,234226
,Patrik,Schick,77,234236
,Federico,Chiesa,77,235805
,Cengiz,Ünder,77,235889
Aarón Martín,Aarón,Martín Caricol,77,236295
,Antonín,Barák,77,236791
,Patrick,Cutrone,77,237715
Vinícius Júnior,Vinícius José,de Oliveira Júnior,77,238794
,Bakary,Koné,76,183766
,Siphiwe,Tshabalala,76,183883
,Maxi,Moralez,76,183895
,Nolan,Roux,76,183982
,Romain,Thomas,76,184190
,Younousse,Sankharé,76,184271
,Matteo,Darmian,76,184392
,Harry,Arter,76,184469
,Ádám,Szalai,76,184789
Alan Kardec,Alan Kardec,de Sousa Pereira Jr,76,184858
Maurício,Maurício José,da Silveira Júnior,76,184999
,Luca,Rossettini,76,185163
,Ivelin,Popov,76,185373
,Gaël,Kakuta,76,186197
,Fabio,Borini,76,186200
,Theodor,Gebre Selassie,76,186330
,Franco,Di Santo,76,186405
,Cheikhou,Kouyaté,76,186801
,Alberto,Paloschi,76,186961
,Dayro,Moreno,76,187075
,Carlos,Zambrano,76,187132
Douglas,Douglas Renato,de Jesus,76,187570
Ganso,Paulo Henrique,Chagas de Lima,76,187688
,Omar,El Kaddouri,76,187702
Alan Carvalho,Alan Douglas,Borges de Carvalho,76,188044
Maicón,Maicón,Marques Bitencourt,76,188045
,Lewis,Holtby,76,188154
,Matt,Phillips,76,188166
,Ronny,Rodelin,76,188397
,Seydou,Doumbia,76,188428
,Sofiane,Hanni,76,188536
Dani Pacheco,Daniel,Pacheco Lobato,76,188554
,Mirco,Antenucci,76,188599
,Daniel,Brosinski,76,189043
,Serdar,Aziz,76,189127
,Bruno,Fornaroli,76,189225
,Mehmet,Ekici,76,189595
,Tom,Cleverley,76,189725
Kiko Femenía,Francisco,Femenía Far,76,189860
,Łukasz,Skorupski,76,189908
,Yoric,Ravet,76,189945
